,date,name,value
330,2021-08-05,Campbelltown (C) (NSW),16
331,2021-08-05,Canterbury-Bankstown (A),94
332,2021-08-05,Cumberland (A),42
333,2021-08-05,Fairfield (C),20
334,2021-08-05,Georges River (A),10
335,2021-08-05,Liverpool (C),35
336,2021-08-05,Parramatta (C),18
337,2021-08-06,Blacktown (C),33
338,2021-08-06,Campbelltown (C) (NSW),12
339,2021-08-06,Canterbury-Bankstown (A),66
340,2021-08-06,Cumberland (A),37
341,2021-08-06,Fairfield (C),27
342,2021-08-06,Georges River (A),11
343,2021-08-06,Liverpool (C),22
344,2021-08-06,Parramatta (C),20
345,2021-08-07,Blacktown (C),18
346,2021-08-07,Campbelltown (C) (NSW),9
347,2021-08-07,Canterbury-Bankstown (A),62
348,2021-08-07,Cumberland (A),38
349,2021-08-07,Fairfield (C),24
350,2021-08-07,Georges River (A),4
351,2021-08-07,Liverpool (C),18
352,2021-08-07,Parramatta (C),7
353,2021-08-08,Blacktown (C),30
354,2021-08-08,Campbelltown (C) (NSW),14
355,2021-08-08,Canterbury-Bankstown (A),54
356,2021-08-08,Cumberland (A),25
357,2021-08-08,Fairfield (C),21
358,2021-08-08,Georges River (A),3
359,2021-08-08,Liverpool (C),29
360,2021-08-08,Parramatta (C),12
361,2021-08-09,Blacktown (C),41
362,2021-08-09,Campbelltown (C) (NSW),20
363,2021-08-09,Canterbury-Bankstown (A),65
364,2021-08-09,Cumberland (A),71
365,2021-08-09,Fairfield (C),16
366,2021-08-09,Georges River (A),13
367,2021-08-09,Liverpool (C),24
368,2021-08-09,Parramatta (C),17
369,2021-08-10,Blacktown (C),45
370,2021-08-10,Campbelltown (C) (NSW),10
371,2021-08-10,Canterbury-Bankstown (A),79
372,2021-08-10,Cumberland (A),42
373,2021-08-10,Fairfield (C),26
374,2021-08-10,Georges River (A),5
375,2021-08-10,Liverpool (C),17
376,2021-08-10,Parramatta (C),12
377,2021-08-11,Blacktown (C),42
378,2021-08-11,Campbelltown (C) (NSW),16
379,2021-08-11,Canterbury-Bankstown (A),95
380,2021-08-11,Cumberland (A),48
381,2021-08-11,Fairfield (C),37
382,2021-08-11,Georges River (A),6
383,2021-08-11,Liverpool (C),20
384,2021-08-11,Parramatta (C),7
385,2021-08-12,Blacktown (C),68
386,2021-08-12,Campbelltown (C) (NSW),19
387,2021-08-12,Canterbury-Bankstown (A),67
388,2021-08-12,Cumberland (A),52
389,2021-08-12,Fairfield (C),31
390,2021-08-12,Georges River (A),6
391,2021-08-12,Liverpool (C),26
392,2021-08-12,Parramatta (C),17
393,2021-08-13,Blacktown (C),65
394,2021-08-13,Campbelltown (C) (NSW),6
395,2021-08-13,Canterbury-Bankstown (A),64
396,2021-08-13,Cumberland (A),84
397,2021-08-13,Fairfield (C),26
398,2021-08-13,Georges River (A),12
399,2021-08-13,Liverpool (C),25
400,2021-08-13,Parramatta (C),15
401,2021-08-14,Blacktown (C),70
402,2021-08-14,Campbelltown (C) (NSW),6
403,2021-08-14,Canterbury-Bankstown (A),57
404,2021-08-14,Cumberland (A),48
405,2021-08-14,Fairfield (C),11
406,2021-08-14,Georges River (A),4
407,2021-08-14,Liverpool (C),10
408,2021-08-14,Parramatta (C),16
409,2021-08-15,Blacktown (C),71
410,2021-08-15,Campbelltown (C) (NSW),21
411,2021-08-15,Canterbury-Bankstown (A),86
412,2021-08-15,Cumberland (A),105
413,2021-08-15,Fairfield (C),38
414,2021-08-15,Georges River (A),3
415,2021-08-15,Liverpool (C),31
416,2021-08-15,Parramatta (C),16
417,2021-08-16,Blacktown (C),98
418,2021-08-16,Campbelltown (C) (NSW),30
419,2021-08-16,Canterbury-Bankstown (A),93
420,2021-08-16,Cumberland (A),103
421,2021-08-16,Fairfield (C),43
422,2021-08-16,Georges River (A),9
423,2021-08-16,Liverpool (C),56
424,2021-08-16,Parramatta (C),18
425,2021-08-17,Blacktown (C),77
426,2021-08-17,Campbelltown (C) (NSW),15
427,2021-08-17,Canterbury-Bankstown (A),101
428,2021-08-17,Cumberland (A),97
429,2021-08-17,Fairfield (C),46
430,2021-08-17,Georges River (A),4
431,2021-08-17,Liverpool (C),39
432,2021-08-17,Parramatta (C),16
433,2021-08-18,Blacktown (C),94
434,2021-08-18,Campbelltown (C) (NSW),27
435,2021-08-18,Canterbury-Bankstown (A),110
436,2021-08-18,Cumberland (A),127
437,2021-08-18,Fairfield (C),34
438,2021-08-18,Georges River (A),6
439,2021-08-18,Liverpool (C),45
440,2021-08-18,Parramatta (C),24
441,2021-08-19,Blacktown (C),97
442,2021-08-19,Campbelltown (C) (NSW),29
443,2021-08-19,Canterbury-Bankstown (A),152
444,2021-08-19,Cumberland (A),166
445,2021-08-19,Fairfield (C),53
446,2021-08-19,Georges River (A),12
447,2021-08-19,Liverpool (C),61
448,2021-08-19,Parramatta (C),26
449,2021-08-20,Blacktown (C),108
450,2021-08-20,Campbelltown (C) (NSW),20
451,2021-08-20,Canterbury-Bankstown (A),116
452,2021-08-20,Cumberland (A),149
453,2021-08-20,Fairfield (C),62
454,2021-08-20,Georges River (A),16
455,2021-08-20,Liverpool (C),56
456,2021-08-20,Parramatta (C),27
457,2021-08-21,Blacktown (C),82
458,2021-08-21,Campbelltown (C) (NSW),17
459,2021-08-21,Canterbury-Bankstown (A),148
460,2021-08-21,Cumberland (A),198
461,2021-08-21,Fairfield (C),46
462,2021-08-21,Georges River (A),14
463,2021-08-21,Liverpool (C),62
464,2021-08-21,Parramatta (C),31
465,2021-08-22,Blacktown (C),99
466,2021-08-22,Campbelltown (C) (NSW),23
467,2021-08-22,Canterbury-Bankstown (A),119
468,2021-08-22,Cumberland (A),165
469,2021-08-22,Fairfield (C),56
470,2021-08-22,Georges River (A),11
471,2021-08-22,Liverpool (C),48
472,2021-08-22,Parramatta (C),33
473,2021-08-23,Blacktown (C),130
474,2021-08-23,Campbelltown (C) (NSW),20
475,2021-08-23,Canterbury-Bankstown (A),147
476,2021-08-23,Cumberland (A),160
477,2021-08-23,Fairfield (C),53
478,2021-08-23,Georges River (A),15
479,2021-08-23,Liverpool (C),58
480,2021-08-23,Parramatta (C),37
481,2021-08-24,Blacktown (C),123
482,2021-08-24,Campbelltown (C) (NSW),29
483,2021-08-24,Canterbury-Bankstown (A),153
484,2021-08-24,Cumberland (A),197
485,2021-08-24,Fairfield (C),75
486,2021-08-24,Georges River (A),11
487,2021-08-24,Liverpool (C),61
488,2021-08-24,Parramatta (C),34
489,2021-08-25,Blacktown (C),108
490,2021-08-25,Campbelltown (C) (NSW),33
491,2021-08-25,Canterbury-Bankstown (A),157
492,2021-08-25,Cumberland (A),198
493,2021-08-25,Fairfield (C),69
494,2021-08-25,Georges River (A),7
495,2021-08-25,Liverpool (C),83
496,2021-08-25,Parramatta (C),39
497,2021-08-26,Blacktown (C),120
498,2021-08-26,Campbelltown (C) (NSW),25
499,2021-08-26,Canterbury-Bankstown (A),165
500,2021-08-26,Cumberland (A),204
501,2021-08-26,Fairfield (C),69
502,2021-08-26,Georges River (A),11
503,2021-08-26,Liverpool (C),77
504,2021-08-26,Parramatta (C),49
505,2021-08-27,Blacktown (C),119
506,2021-08-27,Campbelltown (C) (NSW),41
507,2021-08-27,Canterbury-Bankstown (A),214
508,2021-08-27,Cumberland (A),238
509,2021-08-27,Fairfield (C),63
510,2021-08-27,Georges River (A),11
511,2021-08-27,Liverpool (C),96
512,2021-08-27,Parramatta (C),32
513,2021-08-28,Blacktown (C),126
514,2021-08-28,Campbelltown (C) (NSW),32
515,2021-08-28,Canterbury-Bankstown (A),230
516,2021-08-28,Cumberland (A),242
517,2021-08-28,Fairfield (C),75
518,2021-08-28,Georges River (A),16
519,2021-08-28,Liverpool (C),88
520,2021-08-28,Parramatta (C),37
521,2021-08-29,Blacktown (C),135
522,2021-08-29,Campbelltown (C) (NSW),48
523,2021-08-29,Canterbury-Bankstown (A),262
524,2021-08-29,Cumberland (A),263
525,2021-08-29,Fairfield (C),67
526,2021-08-29,Georges River (A),16
527,2021-08-29,Liverpool (C),82
528,2021-08-29,Parramatta (C),41
529,2021-08-30,Blacktown (C),124
530,2021-08-30,Campbelltown (C) (NSW),50
531,2021-08-30,Canterbury-Bankstown (A),248
532,2021-08-30,Cumberland (A),190
533,2021-08-30,Fairfield (C),72
534,2021-08-30,Georges River (A),20
535,2021-08-30,Liverpool (C),68
536,2021-08-30,Parramatta (C),26
537,2021-08-31,Blacktown (C),125
538,2021-08-31,Campbelltown (C) (NSW),36
539,2021-08-31,Canterbury-Bankstown (A),249
540,2021-08-31,Cumberland (A),273
541,2021-08-31,Fairfield (C),83
542,2021-08-31,Georges River (A),18
543,2021-08-31,Liverpool (C),98
544,2021-08-31,Parramatta (C),39
545,2021-09-01,Blacktown (C),130
546,2021-09-01,Campbelltown (C) (NSW),55
547,2021-09-01,Canterbury-Bankstown (A),269
548,2021-09-01,Cumberland (A),270
549,2021-09-01,Fairfield (C),65
550,2021-09-01,Georges River (A),30
551,2021-09-01,Liverpool (C),102
552,2021-09-01,Parramatta (C),51
553,2021-09-02,Blacktown (C),122
554,2021-09-02,Campbelltown (C) (NSW),35
